location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
IS,2020-01-01,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.179012,-2.845679,2.475309,0.0,398.78,-1.839506,87.508509
IS,2020-01-02,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7.407407,-12.685185,-2.703704,0.0,398.78,-9.666667,84.302607
IS,2020-01-03,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-11.141975,-14.771605,-8.808642,0.0,408.94,-14.5,77.201578
IS,2020-01-04,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.160494,-11.333333,3.62963,0.0,408.94,-5.296296,85.546749
IS,2020-01-05,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.240741,-1.5,2.228395,0.0,429.26,-2.487654,83.22997
IS,2020-01-06,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.54321,-2.41358,2.407407,0.0,391.16,-1.820988,91.262525
IS,2020-01-07,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.518519,-5.401235,0.401235,0.0,391.16,-4.308642,87.716068
IS,2020-01-08,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.104938,-7.203704,-2.475309,0.0,419.1,-7.098765,86.458027
IS,2020-01-09,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.277778,-6.765432,-2.925926,0.0,,-7.179012,87.225026
IS,2020-01-10,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,Q189,country/ISL,IS,Iceland,IS,ISL,0,0,0,,0,0,,,,,,,,356991,182837,174154,22203,339110,3.5,0.899,44848,44914,55484,51650,45597,43927,36377,21716,12478,24188035738,66944,0.74,299133,65.0,-19.0,103000,88593,1023,82.9,14.7,5.8,1.5,65.669,38.181,8.7,9.1,16.2132,4.0778,6086.311523,1003.047241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.111111,-5.191358,2.703704,0.0,439.42,-3.32716,85.653123
